Period,Country,League,Team,Matches Played,BTTS YES %,BTTS NO %
Current season,Netherlands,Eredivisie,Zwolle,12,100,0
Current season,Germany,Bundesliga,Eintracht Frankfurt,12,92,8
Current season,Netherlands,Eredivisie,Nijmegen,13,92,8
Current season,Netherlands,Eredivisie,Ajax,12,92,8
Current season,Saudi Arabia,Saudi Professional League,Al Khaleej,13,92,8
Current season,Denmark,Superliga,Aarhus,11,91,9
Current season,Russia,Premier League,Lokomotiv Moscow,10,90,10
Current season,England,Championship,Southampton,18,89,11
Current season,England,Premier League,Manchester Utd,15,87,13
Current season,Belgium,Jupiler Pro League,Genk,13,85,15
Current season,Spain,LaLiga,Elche,12,83,17
Current season,England,Championship,Leicester,18,83,17
Current season,Netherlands,Eredivisie,Utrecht,12,83,17
Current season,Turkey,Super Lig,Alanyaspor,12,83,17
Current season,Greece,Super League,Kifisia,11,82,18
Current season,Austria,Bundesliga,Austria Vienna,10,80,20
Current season,Austria,Bundesliga,Salzburg,10,80,20
Current season,Spain,LaLiga2,Racing Santander,14,79,21
Current season,Spain,LaLiga2,Cordoba,14,79,21
Current season,Belgium,Jupiler Pro League,Waregem,14,79,21
Current season,Spain,LaLiga,Betis,13,77,23
Current season,Spain,LaLiga,Real Sociedad,13,77,23
Current season,Spain,LaLiga,Barcelona,13,77,23
Current season,Italy,Serie A,Genoa,13,77,23
Current season,Netherlands,Eredivisie,Sittard,13,77,23
Current season,England,League Two,Barrow,17,76,24
Current season,England,League One,Reading,16,75,25
Current season,Germany,2. Bundesliga,Holstein Kiel,12,75,25
Current season,Germany,2. Bundesliga,SG Dynamo Dresden,12,75,25
Current season,Germany,Bundesliga,Stuttgart,12,75,25
Current season,France,Ligue 1,Strasbourg,12,75,25
Current season,France,Ligue 2,Le Mans,12,75,25
Current season,Netherlands,Eredivisie,Twente,12,75,25
Current season,Turkey,Super Lig,Konyaspor,12,75,25
Current season,Turkey,Super Lig,Rizespor,12,75,25
Current season,Saudi Arabia,Saudi Professional League,Al Ittihad,12,75,25
Current season,England,Premier League,Burnley,15,73,27
Current season,England,Premier League,Chelsea,15,73,27
Current season,Turkey,Super Lig,Karagumruk,11,73,27
Current season,Scotland,Premiership,Kilmarnock,15,73,27
Current season,Denmark,Superliga,Silkeborg,11,73,27
Current season,Denmark,Superliga,FC Copenhagen,11,73,27
Current season,Denmark,Superliga,Odense,11,73,27
Current season,Denmark,Superliga,Fredericia,11,73,27
Current season,Croatia,HNL,Osijek,11,73,27
Current season,Saudi Arabia,Saudi Professional League,Al Qadsiah,11,73,27
Current season,England,League Two,Tranmere,18,72,28
Current season,England,League One,Wigan,17,71,29
Current season,England,Premier League,Bournemouth,14,71,29
Current season,Spain,LaLiga2,Almeria,14,71,29
Current season,Italy,Serie B,Venezia,14,71,29
Current season,Italy,Serie B,Cesena,14,71,29
Current season,Italy,Serie B,Carrarese,14,71,29
Current season,Italy,Serie B,Sampdoria,14,71,29
Current season,Italy,Serie B,Pescara,14,71,29
Current season,Belgium,Jupiler Pro League,RAAL La Louviere,14,71,29
Current season,Australia,A-League,Newcastle Jets,10,70,30
Current season,Austria,Bundesliga,Wolfsberger AC,10,70,30
Current season,England,League One,Barnsley,16,69,31
Current season,Germany,2. Bundesliga,Hannover,13,69,31
Current season,Spain,LaLiga,Girona,13,69,31
Current season,Italy,Serie A,Pisa,13,69,31
Current season,France,Ligue 2,Rodez,13,69,31
Current season,England,Championship,Ipswich,16,69,31
Current season,Netherlands,Eredivisie,PSV,13,69,31
Current season,England,League Two,Chesterfield,18,67,33
Current season,Germany,2. Bundesliga,Darmstadt,12,67,33
Current season,Germany,2. Bundesliga,Preussen Munster,12,67,33
Current season,Germany,2. Bundesliga,Nurnberg,12,67,33
Current season,Germany,2. Bundesliga,Greuther Furth,12,67,33
Current season,Germany,2. Bundesliga,Bochum,12,67,33
Current season,Spain,LaLiga2,Andorra,15,67,33
Current season,Germany,Bundesliga,Hoffenheim,12,67,33
Current season,Germany,Bundesliga,Mainz,12,67,33
Current season,Germany,Bundesliga,Wolfsburg,12,67,33
Current season,Germany,Bundesliga,Dortmund,12,67,33
Current season,France,Ligue 1,Paris FC,12,67,33
Current season,France,Ligue 1,Nice,12,67,33
Current season,France,Ligue 2,Grenoble,12,67,33
Current season,France,Ligue 2,Guingamp,12,67,33
Current season,France,Ligue 2,Dunkerque,12,67,33
Current season,England,Championship,Coventry,18,67,33
Current season,England,Championship,Middlesbrough,18,67,33
Current season,England,Championship,Norwich,18,67,33
Current season,Netherlands,Eredivisie,Excelsior,12,67,33
Current season,Portugal,Liga Portugal,Sporting CP,12,67,33
Current season,Portugal,Liga Portugal,Alverca,12,67,33
Current season,Turkey,Super Lig,Samsunspor,12,67,33
Current season,Turkey,Super Lig,Trabzonspor,12,67,33
Current season,Scotland,Premiership,St. Mirren,15,67,33
Current season,Croatia,HNL,Lok. Zagreb,12,67,33
Current season,Croatia,HNL,Slaven Belupo,12,67,33
Current season,Saudi Arabia,Saudi Professional League,Al Hilal,12,67,33
Current season,Saudi Arabia,Saudi Professional League,Al Fayha,12,67,33
Current season,Saudi Arabia,Saudi Professional League,Neom SC,12,67,33
Current season,Saudi Arabia,Saudi Professional League,Damac,12,67,33
Current season,Greece,Super League,Levadiakos,12,67,33
Current season,England,League One,Bradford City,17,65,35
Current season,England,League Two,MK Dons,17,65,35
Current season,England,Championship,Derby,17,65,35
Current season,England,Championship,Watford,17,65,35
Current season,Germany,2. Bundesliga,Braunschweig,11,64,36
Current season,Germany,2. Bundesliga,Dusseldorf,11,64,36
Current season,England,Premier League,Fulham,14,64,36
Current season,England,Premier League,Leeds,14,64,36
Current season,Spain,LaLiga2,Mirandes,14,64,36
Current season,Italy,Serie A,Cagliari,14,64,36
Current season,Italy,Serie A,Bologna,14,64,36
Current season,Italy,Serie B,Catanzaro,14,64,36
Current season,Germany,Bundesliga,Augsburg,11,64,36
Current season,Scotland,Premiership,Rangers,14,64,36
Current season,Scotland,Premiership,Dundee Utd,14,64,36
Current season,Australia,A-League,Brisbane Roar,11,64,36
Current season,Belgium,Jupiler Pro League,Dender,14,64,36
Current season,Belgium,Jupiler Pro League,St. Truiden,14,64,36
Current season,Belgium,Jupiler Pro League,Gent,14,64,36
Current season,Denmark,Superliga,Vejle,11,64,36
Current season,Austria,Bundesliga,Ried,11,64,36
Current season,Austria,Bundesliga,Tirol,11,64,36
Current season,Austria,Bundesliga,SK Rapid,11,64,36
Current season,Croatia,HNL,Rijeka,11,64,36
Current season,Saudi Arabia,Saudi Professional League,Al Fateh,11,64,36
Current season,England,League Two,Notts Co,16,63,38
Current season,Germany,2. Bundesliga,Elversberg,13,62,38
Current season,Spain,LaLiga,Villarreal,13,62,38
Current season,Spain,LaLiga,Espanyol,13,62,38
Current season,Spain,LaLiga,Celta Vigo,13,62,38
Current season,Spain,LaLiga,Sevilla,13,62,38
Current season,Italy,Serie A,Udinese,13,62,38
Current season,Italy,Serie B,Palermo,13,62,38
Current season,France,Ligue 2,Nancy,13,62,38
Current season,Netherlands,Eredivisie,G.A. Eagles,13,62,38
Current season,Portugal,Liga Portugal,Braga,13,62,38
Current season,Turkey,Super Lig,Fenerbahce,13,62,38
Current season,Croatia,HNL,Istra 1961,13,62,38
Current season,Croatia,HNL,Vukovar 1991,13,62,38
