"Period","Country","League","Team","Matches Played","BTTS YES %","BTTS NO %"
"Current season","Europe","Champions League","FC Copenhagen","4","100","0"
"Current season","Europe","Champions League","Barcelona","4","100","0"
"Current season","Europe","Champions League","PSV","4","100","0"
"Current season","Europe","Champions League","Atl. Madrid","6","100","0"
"Current season","Argentina","Liga Profesional","Racing Club","3","100","0"
"Current season","Colombia","Primera A","Ind. Medellin","4","100","0"
"Current season","Colombia","Primera A","Santa Fe","4","100","0"
"Current season","Colombia","Primera A","Cucuta","5","100","0"
"Current season","Brazil","Serie A Betano","Palmeiras","2","100","0"
"Current season","Brazil","Serie A Betano","Bahia","1","100","0"
"Current season","Brazil","Serie A Betano","Mirassol","2","100","0"
"Current season","Brazil","Serie A Betano","Flamengo RJ","1","100","0"
"Current season","Brazil","Serie A Betano","Cruzeiro","2","100","0"
"Current season","Brazil","Serie A Betano","Gremio","2","100","0"
"Current season","Brazil","Serie A Betano","Remo","2","100","0"
"Current season","Brazil","Serie A Betano","Atletico-MG","2","100","0"
"Current season","Brazil","Serie A Betano","Santos","2","100","0"
"Current season","Brazil","Serie A Betano","Chapecoense-SC","2","100","0"
"Current season","Europe","Conference League","Strasbourg","3","100","0"
"Current season","Europe","Conference League","Hacken","3","100","0"
"Current season","Europe","Conference League","Lincoln Red Imps","3","100","0"
"Current season","Europe","Conference League","Sigma Olomouc","4","100","0"
"Current season","USA","MLS","Orlando City","2","100","0"
"Current season","USA","MLS","Charlotte","1","100","0"
"Current season","USA","MLS","Atlanta Utd","1","100","0"
"Current season","USA","MLS","Portland Timbers","2","100","0"
"Current season","USA","MLS","Nashville SC","2","100","0"
"Current season","USA","MLS","Real Salt Lake","1","100","0"
"Current season","Netherlands","Eredivisie","AZ Alkmaar","12","92","8"
"Current season","Turkey","Super Lig","Antalyaspor","12","92","8"
"Current season","Denmark","Superliga","Odense","11","91","9"
"Current season","England","League Two","Fleetwood","18","89","11"
"Current season","Russia","Premier League","Akron Togliatti","9","89","11"
"Current season","Scotland","Premiership","Livingston","15","87","13"
"Current season","Germany","2. Bundesliga","Preussen Munster","13","85","15"
"Current season","Spain","LaLiga","Real Sociedad","13","85","15"
"Current season","Germany","Bundesliga","FC Koln","13","85","15"
"Current season","Germany","Bundesliga","Wolfsburg","13","85","15"
"Current season","Netherlands","Eredivisie","Heerenveen","13","85","15"
"Current season","Netherlands","Eredivisie","FC Volendam","13","85","15"
"Current season","Germany","2. Bundesliga","SG Dynamo Dresden","12","83","17"
"Current season","Germany","Bundesliga","Freiburg","12","83","17"
"Current season","Netherlands","Eredivisie","Telstar","12","83","17"
"Current season","Europe","Champions League","Atalanta","6","83","17"
"Current season","France","Ligue 2","Clermont","11","82","18"
"Current season","Denmark","Superliga","Viborg","11","82","18"
"Current season","Austria","Bundesliga","Grazer AK","11","82","18"
"Current season","Europe","Champions League","Real Madrid","5","80","20"
"Current season","Europe","Champions League","PSG","5","80","20"
"Current season","Europe","Champions League","Qarabag","5","80","20"
"Current season","Europe","Champions League","Bodo/Glimt","5","80","20"
"Current season","Argentina","Liga Profesional","Ind. Rivadavia","5","80","20"
"Current season","Colombia","Primera A","Aguilas","5","80","20"
"Current season","Colombia","Primera A","Once Caldas","5","80","20"
"Current season","Colombia","Primera A","Fortaleza","5","80","20"
"Current season","Europe","Europa League","Panathinaikos","5","80","20"
"Current season","Europe","Europa League","Ferencvaros","5","80","20"
"Current season","Europe","Europa League","Din. Zagreb","5","80","20"
"Current season","Europe","Europa League","Celta Vigo","5","80","20"
"Current season","England","Championship","Wrexham","19","79","21"
"Current season","Belgium","Jupiler Pro League","Cercle Brugge KSV","14","79","21"
"Current season","Germany","2. Bundesliga","Paderborn","13","77","23"
"Current season","Germany","2. Bundesliga","Kaiserslautern","13","77","23"
"Current season","Netherlands","Eredivisie","Sittard","13","77","23"
"Current season","Netherlands","Eredivisie","PSV","13","77","23"
"Current season","Turkey","Super Lig","Basaksehir","13","77","23"
"Current season","Croatia","HNL","Lok. Zagreb","13","77","23"
"Current season","Saudi Arabia","Saudi Professional League","Al Fateh","13","77","23"
"Current season","Germany","2. Bundesliga","Karlsruher SC","12","75","25"
"Current season","France","Ligue 1","Lorient","12","75","25"
"Current season","Turkey","Super Lig","Fenerbahce","12","75","25"
"Current season","Turkey","Super Lig","Galatasaray","12","75","25"
"Current season","Europe","Champions League","Villarreal","4","75","25"
"Current season","Europe","Champions League","Pafos","4","75","25"
"Current season","Europe","Champions League","Sporting CP","4","75","25"
"Current season","Argentina","Liga Profesional","Gimnasia L.P.","4","75","25"
"Current season","Argentina","Liga Profesional","Talleres Cordoba","4","75","25"
"Current season","Argentina","Liga Profesional","Defensa y Justicia","4","75","25"
"Current season","Colombia","Primera A","Alianza","4","75","25"
"Current season","Colombia","Primera A","Inter Bogotá","4","75","25"
"Current season","Europe","Europa League","FCSB","4","75","25"
"Current season","Europe","Europa League","FC Porto","4","75","25"
"Current season","Europe","Europa League","Betis","4","75","25"
"Current season","Europe","Europa League","Nice","4","75","25"
"Current season","Europe","Conference League","Zrinjski","4","75","25"
"Current season","Europe","Conference League","Celje","4","75","25"
"Current season","Saudi Arabia","Saudi Professional League","Al Najma","12","75","25"
"Current season","Saudi Arabia","Saudi Professional League","Al Shabab","12","75","25"
"Current season","England","Championship","Derby","19","74","26"
"Current season","England","Premier League","Tottenham","15","73","27"
"Current season","England","Premier League","Newcastle","15","73","27"
"Current season","Spain","LaLiga2","Almeria","15","73","27"
"Current season","Italy","Serie B","Mantova","15","73","27"
"Current season","Italy","Serie B","Empoli","15","73","27"
"Current season","France","Ligue 1","Rennes","11","73","27"
"Current season","Australia","A-League","Wellington Phoenix","11","73","27"
